"","green","brown","pink","turquoise","tan","purple","magenta","blue","red","midnightblue","salmon","darkturquoise","yellow","greenyellow","darkred","black","orange","royalblue","lightyellow","lightgreen","cyan","lightcyan","grey60","darkgreen","darkgrey"
"Vitvi16g04448",0.0193236714975845,0.000568181818181818,0,0.00026892564205997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi17g00339",0.000801924619085806,0.00230017251293847,0.00252844500632111,0,0,0,0,0.000455062571103527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi17g00461",0.0338436744560838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00470588235294118,0,0,0,0
"Vitvi17g00704",0,0,0,0.0596874157908919,0,0.000937207122774133,0,0,0,0,0,0,0.00478978179882916,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi17g00936",0,0.000838926174496644,0,0,0,0,0,0.145714935212548,0,0,0,0.00135869565217391,0,0.00317460317460317,0,0,0,0,0.00512163892445583,0,0,0,0,0,0
"Vitvi17g01373",0,0.00441014332965821,0.00345224395857307,0,0,0,0,0.0156569094622192,0,0,0,0,0,0,0,0,0,0,0.0375586854460094,0,0,0,0,0,0
"Vitvi17g04171",0,0,0,0.00133120340788072,0,0.0168302945301543,0,0,0,0,0,0,0.0589444825222755,0,0,0.00216919739696312,0,0,0,0,0,0,0,0,0
"Vitvi18g00174",0,0,0,0.00281049250535332,0,0.00578034682080925,0,0,0,0,0,0,0.0383561643835616,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi18g00191",0.024,0.00509626274065685,0.00243013365735115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi18g00462",0,0,0,0.00523982265215639,0,0.00292825768667643,0,0,0,0,0,0,0.0196476964769648,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi18g00473",0.000732600732600733,0,0,0.0168599946048017,0,0,0.00118063754427391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi18g02825",0,0,0,0.0014840798704803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi19g00270",0,0.0109335576114382,0,0,0,0,0,0.14563986409966,0,0,0,0,0,0,0,0,0,0,0.00124688279301746,0,0,0,0,0,0
"Vitvi19g00476",0,0,0,0.000803105340650515,0,0,0,0,0,0,0,0,0.0409437890353921,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi19g00709",0,0,0,0.000401230440016049,0,0,0,0,0,0,0,0,0.045201668984701,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi19g01484",0,0.0158802177858439,0,0,0,0,0,0.10451467268623,0,0,0,0,0,0.00269299820466786,0,0,0,0,0.00630914826498423,0,0,0,0,0,0
"Vitvi19g01610",0,0,0,0.00159936025589764,0,0,0,0,0,0,0,0,0.0628887353144437,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi19g01612",0,0,0,0.0014719657433427,0,0,0,0,0,0,0,0,0.0421853388658368,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi19g01720",0.0687450039968026,0.00659340659340659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi19g01790",0,0,0,0.00726196880043034,0,0.00289435600578871,0,0,0,0,0,0,0.0133958472873409,0,0,0.00224719101123596,0,0,0,0,0,0,0,0,0
"Vitvi19g04259",0,0,0,0.00039830058417419,0,0.010958904109589,0.00118623962040332,0,0,0,0,0,0,0,0,0.133010882708585,0,0,0,0,0,0,0,0,0
"Vitvi19g04530",0,0,0,0.00120112104630989,0,0,0,0,0,0,0,0,0.0560941828254848,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi19g04572",0,0,0,0.00106752068321324,0,0,0,0,0,0,0,0,0.0568260568260568,0,0,0,0,0,0,0,0,0,0,0,0
