"","salmon","brown","magenta","turquoise","greenyellow","royalblue","tan","black","red","floralwhite","blue","yellow","pink","skyblue3","steelblue","green","yellowgreen","darkorange","darkgrey","lightcyan","grey60","skyblue","paleturquoise","mediumpurple3","darkgreen","purple","cyan","darkmagenta","white","thistle2","sienna3","lightyellow","maroon","midnightblue","navajowhite2","saddlebrown","lightgreen","lightcyan1","thistle1","bisque4","honeydew1","orange","brown4","lightpink4","plum1","darkred","ivory","darkslateblue","violet","salmon4","plum2","darkturquoise","lightsteelblue1","orangered4","palevioletred3","darkolivegreen","coral1","darkseagreen4","lavenderblush3","darkorange2"
"Vitvi01g01701",0,0,0,0,0,0,0.00672645739910314,0.044987146529563,0.00709219858156028,0,0,0,0,0,0,0,0,0,0.00404858299595142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g01751",0,0,0,0,0,0,0,0.00221729490022173,0,0,0,0,0,0,0,0.156542056074766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g02242",0,0,0,0.000157381177211206,0,0,0,0.00229357798165138,0,0,0,0,0,0,0,0.118881118881119,0,0,0,0,0,0,0.00409836065573771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g04056",0,0,0,0.00379326695116169,0,0,0,0,0,0,0,0,0.106060606060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00595238095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g04115",0,0,0,0.0042836744407425,0,0,0,0.0507425742574257,0.0148571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g04132",0,0,0,0.00015956598053295,0,0,0,0,0.00242718446601942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0761904761904762,0,0,0,0,0,0,0,0
"Vitvi02g00032",0,0,0,0.194939528962444,0,0,0,0.000987166831194472,0.0162241887905605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00086",0,0,0,0.0107062959411953,0,0,0,0.00118623962040332,0,0,0,0,0.00517464424320828,0,0,0.00431965442764579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00429",0,0.000550357732526142,0,0,0,0,0,0,0,0,0.122663551401869,0.00245248313917842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00446",0.00233372228704784,0.00513992004568818,0,0,0.00113895216400911,0,0,0,0,0,0.106784798321287,0,0,0,0,0,0,0.00151057401812689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00122850122850123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
