"anchor","anchor_label","partner","r_protected"
"Vitvi09g04475","EIX1","Vitvi14g01967",0.85552777213869
"Vitvi09g04475","EIX1","Vitvi14g03057",0.85336247103239
"Vitvi09g04475","EIX1","Vitvi16g01964",0.821887468540931
"Vitvi09g04475","EIX1","Vitvi16g04400",0.835259361169006
"Vitvi09g04475","EIX1","Vitvi17g01392",0.866528294531118
"Vitvi09g04475","EIX1","Vitvi18g01676",0.824080544179582
"Vitvi09g04475","EIX1","Vitvi18g03244",0.8775554255313
"Vitvi09g04475","EIX1","Vitvi19g02292",0.813350384813946
"Vitvi14g03033","Fungal-lipase","Vitvi01g01952",0.867181915768464
"Vitvi14g03033","Fungal-lipase","Vitvi01g02020",0.879668180923263
"Vitvi14g03033","Fungal-lipase","Vitvi01g02252",0.884647452471228
"Vitvi14g03033","Fungal-lipase","Vitvi01g04414",0.832103138685745
"Vitvi14g03033","Fungal-lipase","Vitvi03g00936",0.876524452541242
"Vitvi14g03033","Fungal-lipase","Vitvi03g04295",0.814975836203429
"Vitvi14g03033","Fungal-lipase","Vitvi04g04013",0.848379127772794
"Vitvi14g03033","Fungal-lipase","Vitvi05g00440",0.878069112058407
"Vitvi14g03033","Fungal-lipase","Vitvi05g00600",0.85850310641806
"Vitvi14g03033","Fungal-lipase","Vitvi06g00674",0.867899361809087
"Vitvi14g03033","Fungal-lipase","Vitvi06g01678",0.892229964139308
"Vitvi14g03033","Fungal-lipase","Vitvi07g01330",0.836777084602021
"Vitvi14g03033","Fungal-lipase","Vitvi07g02425",0.825422002462957
"Vitvi14g03033","Fungal-lipase","Vitvi07g02430",0.858223406578133
"Vitvi14g03033","Fungal-lipase","Vitvi07g02649",0.851539354687386
"Vitvi14g03033","Fungal-lipase","Vitvi07g04380",0.832861751835583
"Vitvi14g03033","Fungal-lipase","Vitvi08g00911",0.848680502188927
"Vitvi14g03033","Fungal-lipase","Vitvi08g01699",0.910377084241302
"Vitvi14g03033","Fungal-lipase","Vitvi08g01848",0.86414554312761
"Vitvi14g03033","Fungal-lipase","Vitvi08g02333",0.87861003885375
"Vitvi14g03033","Fungal-lipase","Vitvi09g00253",0.866353154191763
"Vitvi14g03033","Fungal-lipase","Vitvi09g01031",0.874257561673981
"Vitvi14g03033","Fungal-lipase","Vitvi09g01310",0.843673043556537
"Vitvi14g03033","Fungal-lipase","Vitvi09g01335",0.866145280070325
"Vitvi14g03033","Fungal-lipase","Vitvi09g04565",0.854898661601117
"Vitvi14g03033","Fungal-lipase","Vitvi10g00576",0.864035377898165
"Vitvi14g03033","Fungal-lipase","Vitvi10g01077",0.897800473067666
"Vitvi14g03033","Fungal-lipase","Vitvi10g02015",0.847454783852335
"Vitvi14g03033","Fungal-lipase","Vitvi10g02024",0.879901603691718
"Vitvi14g03033","Fungal-lipase","Vitvi10g04071",0.851379461721797
"Vitvi14g03033","Fungal-lipase","Vitvi10g04478",0.834167218317471
"Vitvi14g03033","Fungal-lipase","Vitvi12g02223",0.896501078000995
"Vitvi14g03033","Fungal-lipase","Vitvi12g02227",0.867756905243018
"Vitvi14g03033","Fungal-lipase","Vitvi12g04197",0.812161454923185
"Vitvi14g03033","Fungal-lipase","Vitvi13g00189",0.842896984161239
"Vitvi14g03033","Fungal-lipase","Vitvi13g00297",0.872596334889036
"Vitvi14g03033","Fungal-lipase","Vitvi13g02046",0.866771725071383
"Vitvi14g03033","Fungal-lipase","Vitvi13g02476",0.814467835780039
"Vitvi14g03033","Fungal-lipase","Vitvi14g01967",0.863824798234352
"Vitvi14g03033","Fungal-lipase","Vitvi14g02430",0.855753013723451
"Vitvi14g03033","Fungal-lipase","Vitvi14g03032",0.923520806090814
"Vitvi14g03033","Fungal-lipase","Vitvi14g03057",0.892070576532266
"Vitvi14g03033","Fungal-lipase","Vitvi15g00715",0.87422980516319
"Vitvi14g03033","Fungal-lipase","Vitvi17g01392",0.9007685065425
"Vitvi14g03033","Fungal-lipase","Vitvi17g01396",0.890531233087863
"Vitvi14g03033","Fungal-lipase","Vitvi17g04212",0.795870890072873
"Vitvi14g03033","Fungal-lipase","Vitvi18g00615",0.828514141849107
"Vitvi14g03033","Fungal-lipase","Vitvi18g03244",0.913402009212226
"Vitvi14g03033","Fungal-lipase","Vitvi18g04767",0.86469478732969
"Vitvi16g01127","SARD4","Vitvi01g00687",0.830519006406221
"Vitvi16g01127","SARD4","Vitvi01g01027",0.861663268886845
"Vitvi16g01127","SARD4","Vitvi01g01855",0.884219428863215
"Vitvi16g01127","SARD4","Vitvi01g04413",0.8498162767568
"Vitvi16g01127","SARD4","Vitvi01g04427",0.818856925525954
"Vitvi16g01127","SARD4","Vitvi02g00445",0.894077578025214
"Vitvi16g01127","SARD4","Vitvi03g00614",0.899978171332905
"Vitvi16g01127","SARD4","Vitvi03g01572",0.897867702475191
"Vitvi16g01127","SARD4","Vitvi04g01941",0.835451868890811
"Vitvi16g01127","SARD4","Vitvi04g04396",0.819143952631267
"Vitvi16g01127","SARD4","Vitvi05g00617",0.899375426101127
"Vitvi16g01127","SARD4","Vitvi05g02232",0.844112246669132
"Vitvi16g01127","SARD4","Vitvi07g00228",0.829381903548256
"Vitvi16g01127","SARD4","Vitvi07g01847",0.881116597797956
"Vitvi16g01127","SARD4","Vitvi07g01908",0.831460509216269
"Vitvi16g01127","SARD4","Vitvi07g01920",0.820606548128677
"Vitvi16g01127","SARD4","Vitvi07g02676",0.810568381389976
"Vitvi16g01127","SARD4","Vitvi07g02717",0.88427812405017
"Vitvi16g01127","SARD4","Vitvi07g03194",0.841250070870273
"Vitvi16g01127","SARD4","Vitvi08g01009",0.840633481858572
"Vitvi16g01127","SARD4","Vitvi08g01300",0.834644387695844
"Vitvi16g01127","SARD4","Vitvi08g01411",0.849905813201078
"Vitvi16g01127","SARD4","Vitvi08g04102",0.806017138773522
"Vitvi16g01127","SARD4","Vitvi09g00233",0.835635260885743
"Vitvi16g01127","SARD4","Vitvi09g01560",0.888761861789672
"Vitvi16g01127","SARD4","Vitvi09g04357",0.873164196293294
"Vitvi16g01127","SARD4","Vitvi11g00237",0.881014468951201
"Vitvi16g01127","SARD4","Vitvi11g00304",0.87869472937651
"Vitvi16g01127","SARD4","Vitvi11g00901",0.880586526938781
"Vitvi16g01127","SARD4","Vitvi11g01686",0.814064428755006
"Vitvi16g01127","SARD4","Vitvi12g00554",0.860533492378462
"Vitvi16g01127","SARD4","Vitvi13g00181",0.845698261854914
"Vitvi16g01127","SARD4","Vitvi13g04617",0.878084129034451
"Vitvi16g01127","SARD4","Vitvi14g00234",0.857334491442572
"Vitvi16g01127","SARD4","Vitvi14g01897",0.836539166468329
"Vitvi16g01127","SARD4","Vitvi14g01916",0.790997435435396
"Vitvi16g01127","SARD4","Vitvi14g01917",0.856666750677697
"Vitvi16g01127","SARD4","Vitvi14g01920",0.850247083796072
"Vitvi16g01127","SARD4","Vitvi14g03047",0.856023243041961
"Vitvi16g01127","SARD4","Vitvi14g03072",0.861287900486823
"Vitvi16g01127","SARD4","Vitvi14g03075",0.877005840720357
"Vitvi16g01127","SARD4","Vitvi14g04677",0.828060501359005
"Vitvi16g01127","SARD4","Vitvi16g00211",0.88264507939641
"Vitvi16g01127","SARD4","Vitvi16g01336",0.872158037895504
"Vitvi16g01127","SARD4","Vitvi16g01699",0.836588455026263
"Vitvi16g01127","SARD4","Vitvi16g01960",0.933671833789421
"Vitvi16g01127","SARD4","Vitvi16g04087",0.839416120528279
"Vitvi16g01127","SARD4","Vitvi17g01365",0.832210051761971
"Vitvi16g01127","SARD4","Vitvi17g01523",0.818638350247821
"Vitvi16g01127","SARD4","Vitvi18g00050",0.883918328718088
"Vitvi16g01127","SARD4","Vitvi18g00635",0.825980446715682
"Vitvi16g01127","SARD4","Vitvi18g03250",0.829184908041784
"Vitvi16g01127","SARD4","Vitvi19g00218",0.829267420183529
"Vitvi16g01127","SARD4","Vitvi19g04149",0.848698286340302
"Vitvi16g01127","SARD4","Vitvi19g04160",0.820408406334065
"Vitvi17g00964","SOBIR1","Vitvi00g04044",0.85360648762667
"Vitvi17g00964","SOBIR1","Vitvi00g04376",0.846665092655899
"Vitvi17g00964","SOBIR1","Vitvi00g04709",0.83966995848521
"Vitvi17g00964","SOBIR1","Vitvi01g00397",0.898936978635475
"Vitvi17g00964","SOBIR1","Vitvi01g00477",0.890242485866853
"Vitvi17g00964","SOBIR1","Vitvi01g00521",0.88167822559258
"Vitvi17g00964","SOBIR1","Vitvi01g01952",0.86574219858057
"Vitvi17g00964","SOBIR1","Vitvi01g04056",0.919210691121161
"Vitvi17g00964","SOBIR1","Vitvi01g04416",0.886997142543948
"Vitvi17g00964","SOBIR1","Vitvi01g04429",0.83805981116627
"Vitvi17g00964","SOBIR1","Vitvi03g00207",0.913192842990771
"Vitvi17g00964","SOBIR1","Vitvi03g00614",0.862044485907395
"Vitvi17g00964","SOBIR1","Vitvi03g00755",0.874827163515724
"Vitvi17g00964","SOBIR1","Vitvi03g00842",0.939644043778915
"Vitvi17g00964","SOBIR1","Vitvi03g00936",0.869661734521192
"Vitvi17g00964","SOBIR1","Vitvi03g01597",0.856884585850513
"Vitvi17g00964","SOBIR1","Vitvi04g00021",0.911255144303302
"Vitvi17g00964","SOBIR1","Vitvi04g00022",0.909975345234972
"Vitvi17g00964","SOBIR1","Vitvi04g00029",0.874216674842015
"Vitvi17g00964","SOBIR1","Vitvi04g00034",0.898807624469604
"Vitvi17g00964","SOBIR1","Vitvi04g00133",0.915188645539384
"Vitvi17g00964","SOBIR1","Vitvi04g00510",0.913510015087292
"Vitvi17g00964","SOBIR1","Vitvi04g01624",0.840013566850133
